roof,0,1,2,3
concrete_cement,127.0,122.0,114.0,255.0
irregular_metal,190.0,193.0,191.0,255.0
healthy_metal,215.0,220.0,223.0,255.0
healthy_metal,221.0,228.0,225.0,255.0
healthy_metal,0.0,0.0,0.0,0.0
healthy_metal,185.0,188.0,182.0,255.0
healthy_metal,205.0,210.0,204.0,255.0
healthy_metal,206.0,207.0,197.0,255.0
irregular_metal,164.0,164.0,150.0,255.0
irregular_metal,171.0,167.0,156.0,255.0
healthy_metal,125.0,117.0,104.0,255.0
healthy_metal,197.0,195.0,190.0,255.0
healthy_metal,0.0,0.0,0.0,0.0
concrete_cement,100.0,100.0,98.0,255.0
concrete_cement,135.0,131.0,119.0,255.0
irregular_metal,147.0,141.0,125.0,255.0
irregular_metal,196.0,198.0,184.0,255.0
irregular_metal,154.0,155.0,146.0,255.0
irregular_metal,173.0,174.0,165.0,255.0
irregular_metal,149.0,147.0,138.0,255.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,133.0,127.0,120.0,255.0
irregular_metal,58.0,57.0,59.0,255.0
irregular_metal,150.0,136.0,123.0,255.0
irregular_metal,97.0,89.0,81.0,255.0
irregular_metal,174.0,170.0,153.0,255.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,161.0,163.0,158.0,255.0
irregular_metal,178.0,177.0,163.0,255.0
irregular_metal,169.0,167.0,154.0,255.0
incomplete,143.0,136.0,126.0,255.0
incomplete,99.0,124.0,106.0,255.0
incomplete,132.0,124.5,109.0,255.0
incomplete,0.0,0.0,0.0,0.0
healthy_metal,141.0,134.0,119.0,255.0
healthy_metal,135.0,128.0,110.0,255.0
healthy_metal,95.5,90.0,99.0,255.0
healthy_metal,162.0,168.0,162.0,255.0
healthy_metal,204.0,214.0,207.0,255.0
healthy_metal,193.0,204.0,199.0,255.0
healthy_metal,0.0,0.0,0.0,0.0
healthy_metal,178.0,184.0,181.0,255.0
healthy_metal,176.0,176.0,161.0,255.0
incomplete,149.0,144.0,131.0,255.0
concrete_cement,0.0,0.0,0.0,0.0
healthy_metal,0.0,0.0,0.0,0.0
irregular_metal,182.0,188.0,179.0,255.0
irregular_metal,176.0,180.0,170.0,255.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,167.0,165.0,153.0,255.0
irregular_metal,122.0,122.0,118.0,255.0
irregular_metal,153.0,146.0,133.0,255.0
irregular_metal,146.0,142.0,125.0,255.0
irregular_metal,134.0,123.0,111.0,255.0
healthy_metal,0.0,0.0,0.0,0.0
healthy_metal,145.0,151.0,145.0,255.0
healthy_metal,171.0,181.0,173.0,255.0
healthy_metal,170.0,171.0,151.0,255.0
concrete_cement,118.0,104.0,88.0,255.0
healthy_metal,170.0,175.0,160.0,255.0
concrete_cement,51.0,42.0,31.0,255.0
irregular_metal,170.0,172.0,159.0,255.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,99.0,79.0,66.0,255.0
irregular_metal,128.0,106.0,89.0,255.0
irregular_metal,0.0,0.0,0.0,0.0
irregular_metal,112.0,105.0,89.0,255.0
irregular_metal,146.0,150.0,142.0,255.0
irregular_metal,117.0,114.0,103.0,255.0
irregular_metal,0.0,0.0,0.0,0.0
healthy_metal,0.0,0.0,0.0,0.0
concrete_cement,125.0,124.0,118.0,255.0
concrete_cement,0.0,0.0,0.0,0.0
healthy_metal,186.0,192.0,177.0,255.0
healthy_metal,0.0,0.0,0.0,0.0
healthy_metal,157.0,167.0,159.0,255.0
healthy_metal,160.0,171.0,167.0,255.0
healthy_metal,178.0,185.0,171.0,255.0
healthy_metal,150.0,158.0,152.0,255.0
healthy_metal,129.0,133.0,123.0,255.0
healthy_metal,142.0,148.0,136.0,255.0
healthy_metal,157.0,164.0,155.0,255.0
healthy_metal,160.0,169.0,161.0,255.0
healthy_metal,138.0,140.0,117.0,255.0
healthy_metal,139.0,144.0,132.0,255.0
healthy_metal,184.0,192.0,183.0,255.0
healthy_metal,160.0,168.0,158.0,255.0
healthy_metal,182.0,190.0,181.0,255.0
healthy_metal,181.0,195.0,194.0,255.0
healthy_metal,180.0,189.0,185.0,255.0
irregular_metal,114.0,105.0,83.0,255.0
incomplete,103.0,94.0,76.0,255.0
irregular_metal,88.0,91.0,86.0,255.0
irregular_metal,113.0,110.0,97.0,255.0
irregular_metal,156.0,160.0,150.0,255.0
irregular_metal,113.0,104.0,90.0,255.0
