roof,1,2,3
concrete_cement,138.0,134.0,127.0
irregular_metal,223.0,229.0,230.0
healthy_metal,222.0,228.0,230.0
healthy_metal,235.0,245.0,244.0
healthy_metal,213.0,219.0,215.0
healthy_metal,209.0,214.0,208.0
healthy_metal,219.0,228.0,225.0
healthy_metal,216.0,220.0,212.0
irregular_metal,183.0,185.0,174.0
irregular_metal,203.0,201.0,192.0
healthy_metal,138.0,130.0,116.0
healthy_metal,220.0,223.0,222.0
healthy_metal,198.0,206.0,201.0
concrete_cement,114.0,113.0,110.0
concrete_cement,149.0,147.0,135.0
irregular_metal,173.0,174.0,164.0
irregular_metal,203.0,206.0,192.0
irregular_metal,181.0,186.0,176.0
irregular_metal,197.0,203.0,198.0
irregular_metal,188.0,184.0,174.0
irregular_metal,193.0,203.0,175.0
irregular_metal,222.0,222.0,221.0
irregular_metal,205.0,208.0,210.0
irregular_metal,190.0,195.0,188.0
irregular_metal,177.0,184.0,178.0
irregular_metal,180.0,177.0,163.0
irregular_metal,169.0,168.0,156.0
irregular_metal,197.0,194.0,175.0
irregular_metal,163.0,153.0,140.0
irregular_metal,182.0,184.0,176.0
irregular_metal,188.0,196.0,190.0
irregular_metal,217.0,219.0,208.0
irregular_metal,195.0,196.0,185.0
incomplete,196.0,195.0,185.0
incomplete,164.0,176.0,164.0
incomplete,173.0,171.0,159.0
incomplete,165.0,157.0,147.0
healthy_metal,149.0,143.0,127.0
healthy_metal,144.0,136.0,118.0
healthy_metal,217.0,191.5,189.0
healthy_metal,187.0,196.0,190.0
healthy_metal,206.0,217.0,210.0
healthy_metal,203.0,212.0,208.0
healthy_metal,193.0,199.0,192.0
healthy_metal,238.0,242.0,235.0
healthy_metal,205.0,210.0,197.0
incomplete,172.0,169.0,155.0
concrete_cement,205.0,202.0,184.0
healthy_metal,195.0,201.0,195.0
irregular_metal,200.0,208.0,200.0
irregular_metal,194.0,201.0,191.0
irregular_metal,198.0,207.0,205.0
irregular_metal,188.0,195.0,188.0
irregular_metal,194.0,198.0,187.0
irregular_metal,200.0,204.0,194.0
irregular_metal,202.0,209.0,200.0
irregular_metal,193.0,201.5,197.0
irregular_metal,158.0,155.0,140.0
healthy_metal,174.0,183.0,174.0
healthy_metal,177.0,186.0,179.0
healthy_metal,181.0,191.0,184.0
healthy_metal,179.0,181.0,161.0
concrete_cement,142.0,139.0,122.0
healthy_metal,186.0,195.0,180.0
concrete_cement,126.0,117.0,104.0
irregular_metal,196.0,203.0,192.0
irregular_metal,187.0,195.0,190.0
irregular_metal,137.0,128.0,114.0
irregular_metal,149.0,140.0,124.0
irregular_metal,150.0,151.0,139.0
irregular_metal,171.0,179.0,170.0
irregular_metal,174.0,183.0,177.0
irregular_metal,178.0,184.0,178.0
irregular_metal,182.0,187.0,181.0
healthy_metal,192.0,203.0,198.0
concrete_cement,130.0,130.0,124.0
concrete_cement,178.0,179.0,166.0
healthy_metal,195.0,201.0,185.0
healthy_metal,185.0,204.0,200.0
healthy_metal,164.0,176.0,169.0
healthy_metal,167.0,178.0,175.0
